bar,street_address,city_state_zip,neighborhood,in_our_target_zone,notes
Moot Bar,579 Myrtle Ave,"Brooklyn, NY 11205",Clinton Hill / Bed-Stuy line,YES,"Dedicated dart bar - two regulation boards, runs its own spring/fall leagues. One block from The Emerson."
Fulton Ale House,1446 Fulton St,"Brooklyn, NY 11216",Bed-Stuy,YES,Between Brooklyn Ave and Kingston Ave. Holds the Fulton St corridor.
The Commissioner,address unconfirmed,,Park Slope,no,
Logan's Run,address unconfirmed,,Gowanus / Park Slope,no,
Boat Bar,address unconfirmed,,Carroll Gardens (Smith St),no,
Westbury,address unconfirmed,,Park Slope,no,
Shenanigans,address unconfirmed,,Bay Ridge / Sunset Park,no,
773 Lounge,773 5th Ave,"Brooklyn, NY 11232",Sunset Park,no,Address inferred from the name - verify.
Farrell's Bar & Grill,215 Prospect Park West,"Brooklyn, NY 11215",Windsor Terrace,no,
Prospect Bar & Grill,address unconfirmed,,Park Slope / Prospect Heights,no,
Finn's Corner,address unconfirmed,,Brooklyn,no,
Monro Pub,481 5th Ave,"Brooklyn, NY 11215",Park Slope,no,
Paddy's Pub,address unconfirmed,,Park Slope,no,Listed elsewhere as Paddy's of Park Slope.
Uncle Barry's,address unconfirmed,,Park Slope / Prospect Heights,no,
Rullo's,address unconfirmed,,Brooklyn,no,
O'Keefe's,62 Court St,"Brooklyn, NY 11201",Downtown Brooklyn,no,
Smith's Tavern,address unconfirmed,,Brooklyn,no,
Brazen Head,228 Atlantic Ave,"Brooklyn, NY 11201",Boerum Hill,no,
The Craic,address unconfirmed,,Brooklyn,no,
Johnny Pumps,address unconfirmed,,Brooklyn,no,
