rank,bar,address,neighborhood,avg_km_per_player,proximity_score,space_2board_score,space_confidence,food,tuesday_status,insider_flag,transit8,walk_g,walk_ac,total_score,ownership,in_red_circle,open_status,league_bar_adjacent,phone,space_notes,space_detail,food_detail,tuesday_detail,insider_note,transit,notes,lat,lon,called_on,spoke_to,two_boards_confirmed,tuesday_confirmed,outcome
1,The Emerson,561 Myrtle Ave,Clinton Hill,3.6,4.8,5,PARTIAL,BYO / DELIVERY OK,CLEAR,,6/8,0.59,1.32,5.6,"INDEPENDENT - owner Gina, open since 2010, single location, cash only",IN,OPEN,yes,(347) 763-1310,STRENGTHENED: a Brooklyn bar guide describes it as 'huge inside (both wide and long)' - the first direct size statement found for any candidate. Plus a pool table AND a ping-pong table indoors and a large backyard. UNKNOWN: whether a clear 10-12ft wall run survives that furniture.,Pool table AND ping-pong table indoors + large backyard; 'plenty of space to move around'. Two existing game footprints = best 2-board evidence on the list,"No kitchen - BYOF policy, order in or bring your own. Resolves the earlier conflicting reports.",Live music is THURSDAY 9pm; HH Mon-Fri 4-7,,G Classon; C Clinton-Washington,"INDEPENDENT, owner Gina, open since 2010. ALREADY RUNS APA POOL LEAGUE NIGHTS - this bar already hosts a league and knows how the night works. Cash only. Described as 'huge inside, both wide and long'.",40.6942,-73.9605,,,,,
2,Branded Saloon,603 Vanderbilt Ave,Prospect Heights,4.18,2.7,5,EXCEPTIONAL,YES - KITCHEN,CLEAR,CJ PROMISING,2/8,1.09,0.54,5.53,"INDEPENDENT - queer owned and operated, single location",IN,OPEN,no,,"CJ: exceptional space available - the standout of the whole search. A dedicated back performance room (capacity 120, built to hold an audience) PLUS substantial upstairs the teams could take over. No other candidate offers two independent rooms. UNKNOWN only: the upstairs dimensions and whether it is available on a recurring Tuesday - and their calendar shows Tuesday is their quietest night by a wide margin.",EXCEPTIONAL - back performance room (cap. 120) plus substantial upstairs; two independent rooms,Full kitchen; country-western themed menu,"VERIFIED from their public Google Calendar (4,312 events): Tuesday is their QUIETEST night by a wide margin - just 2 Tuesday events in all of 2026, versus 24 Sundays, 16 Mondays and 13 Saturdays. ZERO upcoming Tuesdays are booked. Karaoke and trivia are Thursdays; the drag dinner is Fridays.",CJ: 'low-key could be a sneaky good pick' - a lot of space upstairs we could take over.,C Clinton-Washington 0.6km; G 1.2km; Atlantic-Barclays 0.9km,"Independent, queer-friendly country-western bar. Two possible rooms: back performance space and upstairs.",40.6788,-73.9688,,,,,
3,Bilt Bar,583 Vanderbilt Ave,Prospect Heights,4.13,2.9,4,ADEQUATE - per photos,LIMITED,UNKNOWN,CJ PROMISING,2/8,0.94,0.46,3.82,"INDEPENDENT (likely) - small, new, single location; no group found",IN,OPEN,no,,"CJ: the space seems reasonable - fair to call it okay rather than outstanding. Enough room in the back to work with, not a standout. KNOWN: 2 pinball machines. UNKNOWN: exact depth and whether a clear wall run exists - tape measure on the visit.",Adequate back area per photo review; 2 pinball machines,Charcuterie and snacks; Guinness on tap. No full kitchen found.,,"CJ, twice: 'looks pretty solid', space in the back per photos, and rates it about level with Branded Saloon and clearly above the Crown Inn.",C Clinton-Washington 0.51km; 2/3/4/5 Atlantic-Barclays 0.86km; G 1.02km,"CJ rates this a solid option, roughly level with Branded Saloon. Independent, single location. Two things still unconfirmed that Branded Saloon has already cleared: a free Tuesday, and a measured room. Both are one visit away.",40.68,-73.9695,,,,,
4,Union Hall,702 Union St,Park Slope,4.52,1.4,5,CONFIRMED-GOOD - CJ FIRSTHAND,YES - KITCHEN,LIKELY OK,CJ ENDORSED - SPACE CONFIRMED,4/8,0.65,1.38,3.75,SMALL LOCAL GROUP - sister venue to Floyd (2 bars),IN,OPEN,yes,,"CONFIRMED BY CJ, firsthand: it has the space. 5,000 sq ft bar/restaurant/venue with TWO INDOOR BOCCE COURTS - a bocce court is a long clear lane, so floor depth is not in question here the way it has been everywhere else. The courts are free and first-come except during league play. UNKNOWN: whether a board can be mounted clear of the bocce lanes and out of the path to the downstairs room.","5,000 sq ft; two indoor bocce courts; downstairs live music and comedy room; full kitchen",Full bar and restaurant. Kitchen Tuesday 4pm-10pm.,"Open Tuesday 4pm-2am - the widest window of any candidate, so a 7pm start has hours of slack. The Rogue Bocce league runs MONDAY nights, not Tuesday, and no Tuesday events appear on their calendar. UNVERIFIED: whether the downstairs music/comedy room books Tuesdays - though darts would use the bocce floor, not downstairs.","CJ has been there and says it has the room. Second candidate ever with firsthand space evidence, and the first from CJ himself rather than secondhand.","Union St (R) 0.28km - gives Craig and Elle a one-seat R from 14th St-Union Sq, the same advantage as The Layup but closer to the door. 7th Av (F/G) 0.65km. Nearest A/C is Hoyt-Schermerhorn at 1.38km, which is poor. Mark and Olivia can WALK from Gowanus (~0.75km), moving two players out of the transit-dependent eight. transit8 4/8 is an ESTIMATE, not output of the original one-seat model - recompute before relying on it.","ADDED AT CJ'S REQUEST after he confirmed the space firsthand. Already hosts an OUTSIDE league (Rogue Bocce, Mondays) - the strongest 'this venue says yes to leagues' evidence in the file, stronger than The Emerson's in-house APA pool. Furthest live candidate at 4.52 km/player, but still closer than the Park Slope league bars Monro Pub (5.02) and Farrell's (5.68). total_score 3.75 is hand-assigned, as this column is throughout.",40.6767,-73.9800,,,,,
5,McMahon's Public House,39 5th Ave,Park Slope (North Slope),4.35,2.0,4,"UNKNOWN - ""spacious interior"" + upstairs lounge, unverified",YES - KITCHEN,LIKELY OK - open 11am-2am,"CJ ADDED - ""looks like a legit option""",6/8,1.00,1.10,3.55,"INDEPENDENT - single location (took over O'Connor's, closed after 80+ years)",IN,OPEN,yes,,"Described as a SPACIOUS interior with old-world joinery by an Irish carpenter. The candidate space is the UPSTAIRS LOUNGE, which they let for private events - the same profile as Branded Saloon's upstairs. Also a back garden with a TV and two outdoor patios. UNVERIFIED: no source gives dimensions or a clear wall run. No games listed, so there is no board and no proven throwing lane.",Main bar + UPSTAIRS LOUNGE for private events + back garden with TV + two outdoor patios; full kitchen,"Full kitchen, menu and catering. Food available across the whole match window.","Open 11am-2am daily, so Tuesday has more slack than almost any candidate. No Tuesday event found, but they programme sport heavily (Premier League, UEFA, Six Nations, NFL) - check nothing lands on Tuesday nights.","CJ, 2026-09-18: looks like a legit option. Add it.","Atlantic Av-Barclays hub (2/3/4/5/B/D/N/Q/R) 0.45km - a one-seat R for Craig and Elle from 14th St-Union Sq, and Bergen St (2/3) 0.37km. The G and A/C are both about 1km, so it fails the walk-to-both-G-and-C test. transit8 6/8 is an ESTIMATE on the Atlantic-Barclays hub, not the original one-seat model.","ADDED AT CJ'S REQUEST. Best VIBE match on the list for steel-tip darts: an Irish public house and neighbourhood sports bar, which is the same venue type as the old home bar - The Bar in Gowanus billed itself as a Premier League home. Single location, full kitchen, 11am-2am Tuesdays, and 4.35 km/player beats Union Hall, the Crown Inn and The Layup. NOTE ON STATUS: this address held O'Connor's, a dive since 1931, which is marked CLOSED; McMahon's took it over around 2014. Trading status rests on an August 2026 Yelp listing with 285 reviews, a live own-domain site, an active Facebook page and a doNYC events page - broad and current-looking, but not a phone call. Confirm before travelling.",40.6805,-73.9793,,,,,
6,The Crown Inn,724 Franklin Ave,Crown Heights,4.46,1.6,3,UNKNOWN,YES - KITCHEN,TRIVIA - MAY COEXIST,ENDORSED-STRONG,0/8,1.89,1.01,3.48,"INDEPENDENT (likely) - single location, no group found",IN,OPEN,no,,"KNOWN: street-facing seating up front, a darker back seating area, and a backyard that closes at 11pm. The back area is the candidate space and may be usable during trivia. UNKNOWN: whether any of it offers a clear wall run - every published description is about seating, not open floor.",Front street-facing seating + darker back seating area + backyard (backyard closes 11pm),"Grilled cheese + McClure's chips, oysters, crostini, charcuterie, cheeses","Hosts trivia at 7:30pm, BUT per CJ the back seating area may be free to us while trivia runs up front - the two could coexist. Open Tue 4pm-2:30am, the latest close of any candidate. Backyard shuts at 11pm.",Commissioner's contact: 'by far the most likely to work' of the bars discussed. Strongest human signal on the list - overrides my distance penalty to a degree. Tuesday trivia conflict still needs resolving.,2/3/4/5 Franklin Ave; S-Franklin,"BACK IN PLAY. The commissioner's contact rated it 'by far the most likely to work'. Trivia may not be disqualifying if the back room is free. The real cost is transit: 0 of 8 - it is 1.9km from the G and 1.0km from the A/C, the furthest of any live candidate, and the worst outcome for Hayley, Chris, Mark, Olivia, Craig and Elle.",40.672,-73.9575,,,,,
7,Fulton Grand,1011 Fulton St,Clinton Hill,3.91,3.7,5,CONFIRMED-GOOD,UNKNOWN,UNKNOWN,VIBE QUERY,8/8,0.68,0.15,3.33,SMALL LOCAL GROUP - same team as Washington Commons and 4th Avenue Pub (3 bars),IN,OPEN,no,,"KNOWN (from the owner of Moot Bar, via the commissioner): there is a BACK ROOM that was previously used for shuffleboard or pinball - 'would be perfect for darts if that were feasible'. A room that held a shuffleboard table (22 ft long) is unambiguously deep enough for two regulation lanes. UNKNOWN: whether the room is still available or has been repurposed - that is the whole question.","BACK ROOM formerly used for shuffleboard/pinball - insider-described, best space evidence on the list",,,"Commissioner's contact flagged the back room as ideal for darts. CJ's caveat: the vibe does not obviously say darts bar - worth testing on the visit. NOTE: same ownership team as Washington Commons, which CJ rated low on vibe - that may be exactly why Fulton Grand feels off too.",A/C Franklin,COMMISSIONER-RECOMMENDED + insider space intel. CJ's concern: the vibe does not obviously say darts bar. Ask whether the back room is still free AND whether they actually want a league night.,40.6832,-73.964,,,,,
8,Halyards,406 3rd Ave,Gowanus,4.91,0.4,4,STRONG SIGNAL - ALREADY HAS DART BOARDS,"UNKNOWN - beer and whiskey menu, kitchen unconfirmed",LIKELY OK - open 4pm-2am,"HAS BOARDS ALREADY - CJ: ""changes everything""",4/8,0.47,1.60,3.2,"INDEPENDENT - single location, established 2011",IN,OPEN,no,,"THE ONLY NON-LEAGUE BAR FOUND THAT ALREADY HAS DART BOARDS. Corroborated three ways: their own site quotes customers on ""a cool local vibe with pool and darts"" and - the useful one - ""the pool/dart AREA was so great for a small bday celebration"", which describes a dedicated area rather than a board on a wall. Independent coverage calls it ""a nice, normal bar with some dart BOARDS and a pool table"" (plural). A pool table is real floor-depth evidence, unlike pinball. Multiple rooms plus a private party room with its own sound system. UNVERIFIED: whether the boards are STEEL TIP (the league is steel tip - they may be soft tip or electronic), whether there is ~11 ft of clear depth, and whether a second board could go up.",Multiple rooms; back lounge with pool table and dart board(s); private party room with separate sound system,,"Open Tue 4pm-2am - a wide window. They run trivia, live comedy and watch parties, but no source names the night, so confirm Tuesday is not one of them.","CJ, 2026-09-18: asked whether it really already has a board - ""that changes everything"". Verified: yes, corroborated across their own site and independent coverage.","Union St (R) 0.45km, 4th Av-9th St (F/G/R) 0.47km, so the G is a reasonable walk. Nearest A/C is about 1.6km - poor. transit8 4/8 is an ESTIMATE, not the original one-seat model.","FOUR BLOCKS from the old home bar at 286 Third Ave, and the closest thing to a like-for-like replacement found. A bar that already has boards has already answered the two questions that have killed most candidates: would they want a board on the wall, and is there anywhere to throw. That is why it ranks above its distance. The distance is the problem: 4.91 km/player is second-worst of the live set and 1.32 km worse than The Emerson.",40.6748,-73.9873,,,,,
9,Coyote Club,417 Throop Ave,Bed-Stuy,3.82,4.0,3,UNKNOWN,UNKNOWN,LIKELY OK,,0/8,1.09,1.07,3.15,"INDEPENDENT (likely) - single location, cash only, no group found",IN,OPEN,no,,"KNOWN: red leather booths, a photo booth, outdoor seating, open 4pm-4am daily. UNKNOWN: open floor area. Booths imply a fitted-out room, which usually means less free wall.",Red leather booths; photo booth; outdoor seating,,Open 4pm-4am DAILY,,B46/B26 bus,$4 beer-and-shot; excellent hours,40.6872,-73.941,,,,,
10,Alibi,242 DeKalb Ave,Fort Greene,3.77,4.2,5,PARTIAL,LIKELY NONE,CLEAR,WARNED,8/8,0.13,0.59,2.86,"INDEPENDENT (likely) - single-location dive, cash only",IN,OPEN,no,(718) 783-8519,"KNOWN: separate INDOOR back room, graffiti-covered, described as 'lots of room out back for larger groups'; also a pool table, arcade games and a rear garden. UNKNOWN: back room dimensions and whether the pool table sits in it. Strong candidate but two-board fit is NOT confirmed.","Graffiti-covered INDOOR BACK ROOM, 'lots of room out back for larger groups' + pool table + arcade + rear garden. Below street level","Classic dive, cash only - no kitchen found",Tue 4pm-2am; karaoke is MONTHLY not weekly,Commissioner's contact: 'Alibi is Alibi lol' - dismissive. Treat the space advantage with caution.,G Clinton-Washington; C Lafayette,CASH ONLY. Back room is indoor - strong 2-board candidate,40.6897,-73.968,,,,,
